1,Christmas 1989,Anchor,N
3,Liberty IPA,Anchor,Y
4,ESB (N2),Fuller's,Y
5,Railroad Ale,Devil Mountain,N
6,Devil's Brew,Devil Mountain,N
7,Iron Horse Ale,Devil Mountain,N
8,Amber Ale,St Stan's,Y
9,Steam,Anchor,Y
10,Blue Pilsner,Labatt,Y
11,Wheat,Anchor,Y
12,Lager,Moosehead,Y
13,Earthquake Porter,San Andreas,Y
14,Lite,Miller,Y
15,Pale Ale,Sierra Nevada,Y
16,Lager,Samuel Adams,Y
17,Pilsner,Warsteiner,Y
18,Golden Ale,Molsen,Y
19,Gayle's Pale Ale,Devil Mountain,N
20,Brown Ale,Newcastle,Y
21,Ale,Bass,Y
22,Stout (N2),Guinness,Y
23,Pale Ale,Beck's,Y
24,Export Ale,McEwan's,Y
25,Lager,Spaten,Y
26,Lager,Santa Cruz,Y
27,Amber Ale,Santa Cruz,Y
28,Dark Ale,St Stan's,Y
29,Kit Fox Amber Ale,San Andreas,Y
30,Red Barrel Ale,Watney's,Y
31,Porter,Anchor,Y
32,Lager,Harp,Y
33,Ale,Double Diamond,Y
34,London Pride (N2),Fuller's,Y
35,Porter,Golden Pacific,Y
36,E.S.B.,Grapevine,Y
37,Light Ale,Nevada City,Y
38,Dark Ale,Nevada City,Y
39,Optimator,Spaten,Y
40,Pilsner,Alpine Village,Y
41,Lager,Grapevine,Y
42,Lager,Alpine Village,Y
43,Lager,John Courage,Y
44,Oktoberfest,Spaten,Y
45,Oktoberfest,Paulaner,Y
46,High Rollers Wheat,Anderson Valley,Y
47,Porter,Anderson Valley,Y
48,Poleeko Pale,Anderson Valley,Y
49,Boont Amber,Anderson Valley,Y
50,Oktoberfest,Anderson Valley,Y
51,Barney Flats Oatmeal Stout,Anderson Valley,Y
52,Lager,Heineken,Y
53,Munich,Spaten,Y
54,Sir Francis Stout,Lind's,Y
55,Salvator,Paulaner,Y
56,Xmas ' 89,Anchor,N
57,Lager,Carta Blanca,Y
58,Hoppy Holidays,Santa Cruz,Y
59,Ale,Drake's,Y
60,Original,Paulaner,Y
61,Winter Ale,Young's,Y
62,Bitter Ale,Young's,Y
63,Gold,Drake's,Y
64,San Quentin Breakout Stout,Marin,Y
65,Point Reyes Porter,Marin,Y
66,Mt. Tam Pale Ale,Marin,Y
67,Albion Amber,Marin,Y
68,Bock,Alpine Village,Y
69,Leviathan,Pacific Coast,Y
70,Old Foghorn Ale,Anchor,Y
71,Wheat,Paulaner,Y
72,Orca Porter,Pacific Coast,Y
73,Gray Whale Ale,Pacific Coast,Y
74,Blue Whale Ale,Pacific Coast,Y
75,Weiss,Marin,Y
76,Hefeweizen,Marin,Y
77,Lager,Lowenbrau,Y
78,Sir Francis Stout,Lind's,Y
79,Mariner's Mild,Pacific Coast,Y
80,Amethyst Blackberry,Pacific Coast,Y
81,Lager,Sudwerk,Y
82,Red Ale,Winchester,Y
83,Red Tail Amber,Mendocino,Y
84,Blackhawk Stout,Mendocino,Y
85,Peregrine Pale Ale,Mendocino,Y
86,Bodega Bitter,Marin,Y
87,Porter,Sierra Nevada,Y
88,ESB,Red Hook,Y
89,Wheat Hook,Red Hook,Y
90,Benecia Bitter,Devil Mountain,N
91,Ballard Bitter,Red Hook,Y
92,Black Hook,Red Hook,Y
93,Dinkelacker,Spaten,Y
94,Captain's Porter,Lind's,Y
95,Oktoberfest '90,Devil Mountain,N
96,Oktoberbock,Wilet's,Y
97,Double Dragon,Welsh,Y
98,Dark Oktoberfest '90,Devil Mountain,N
99,London Light Ale,Watney's,Y
100,Christmas '90,Anchor,N
101,Harvest Wheat,Marin,Y
102,Celebration,Sierra Nevada,Y
103,Winter Brew,Samuel Adams,Y
104,Stout,Sierra Nevada,Y
105,Cream Stout,Watney's,Y
106,E. S. B.,Devil Mountain,N
107,Draft Ale,Devil Mountain,N
108,Jolly Roger Extra Strong Ale,Lind's,Y
109,Winterhook Ale,Red Hook,Y
110,Christmas Ale 1990,Devil Mountain,N
111,Here Comes 1991 Ale,Devil Mountain,N
112,I. P. A.,Devil Mountain,N
113,McNally's Extra Ale,Big Rock,Y
114,Double Bock,Samuel Adams,Y
115,Pilsner,Sudwerk,Y
116,Duffy's Ale,Labatt,Y
117,Marzen,Sudwerk,Y
118,St. Brendan's Irish Red,Marin,Y
119,Pale Bock,Sierra Nevada,Y
120,Bigfoot (10oz),Sierra Nevada,Y
121,Spring Bock,Devil Mountain,N
122,Roger's May Bock,Lind's,Y
123,Bluebeery Ale,Marin,Y
